gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
93,0.03298756,0.027803864,0.029087737,0.042783447,0.044094484,0.08898719,0.03315215,0.03644465,0.15582645,0.41977674,-203.96732,-264.74197,-248.69409,-111.52991,-100.79968,125.21238,-51.67865,12.600048,526.1155,686.5734,88,41,45,99,100
94,0.032818675,0.027803864,0.029087737,0.042783447,0.044094484,0.08541913,0.032316174,0.035783812,0.15992299,0.4562711,-205.79202,-264.74197,-248.69409,-111.52991,-100.79968,135.92093,-47.769535,0.745018,526.1155,674.21375,88,41,48,99,100
95,0.03260408,0.027800903,0.02907365,0.04215463,0.044028096,0.08711028,0.032316174,0.03693749,0.22889443,1.1021105,-208.12418,-264.77985,-248.8663,-116.79373,-101.33533,125.21238,-45.55086,8.371784,526.1155,716.6775,88,41,50,98,100
96,0.032540046,0.027793514,0.029025573,0.04134429,0.044028096,0.08723295,0.034283325,0.03693749,0.22865783,1.517175,-208.82309,-264.87436,-249.45468,-123.69406,-101.33533,124.2216,-15.054981,13.533302,514.17773,604.455,88,44,58,99,100
97,0.032506436,0.027791753,0.029025573,0.04134429,0.044028096,0.08542987,0.034283325,0.03755316,0.1897337,1.9459108,-209.19046,-264.89685,-249.45468,-123.69406,-101.33533,121.3073,-15.054981,-2.886322,526.6688,934.06744,88,42,58,98,100
98,0.0323152,0.02706055,0.029025573,0.041074675,0.044028096,0.0842291,0.03153338,0.03570658,0.24915513,0.8277092,-211.28809,-274.3753,-249.45468,-126.01993,-101.33533,118.80825,-15.054981,-1.7319622,513.5094,942.25256,86,42,52,97,99
99,0.03222122,0.0266161,0.028934466,0.04015047,0.044028096,0.08542987,0.034324497,0.03570658,0.1897337,0.87668586,-212.32343,-280.2626,-250.57233,-134.11029,-101.33533,106.04498,-24.715935,-5.9976883,495.4682,968.61835,85,42,52,97,99
100,0.03222122,0.0266161,0.028910542,0.04015047,0.044028096,0.08606513,0.03461877,0.03570658,0.20918982,1.9460053,-212.32343,-280.2626,-250.86636,-134.11029,-101.33533,113.170975,-31.842266,-4.386492,474.5554,968.61835,86,42,52,98,99
101,0.03222122,0.0266161,0.028741453,0.04015047,0.04402809,0.08542987,0.033565737,0.035405826,0.20918982,1.9460053,-212.32343,-280.2626,-252.95166,-134.11029,-101.33539,119.7176,-15.054981,3.7621307,483.6706,968.61835,89,44,58,99,100
102,0.03222122,0.02625526,0.028528921,0.04015047,0.04278344,0.08542987,0.03357063,0.03570658,0.15848112,0.9299802,-212.32343,-285.11517,-255.59018,-134.11029,-111.53,119.7176,-31.890137,-3.9537735,483.6706,942.48157,89,45,57,99,100
103,0.032199327,0.026103761,0.027902171,0.04015047,0.04278344,0.08762577,0.033606786,0.035405826,0.20918982,0.9299802,-212.56506,-287.1725,-263.48727,-134.11029,-111.53,113.92956,-27.898884,-8.922585,452.7464,958.8008,86,45,57,99,100
104,0.032199327,0.026099538,0.027894821,0.04015047,0.04278344,0.08849634,0.033838872,0.035407532,0.1973338,0.9299802,-212.56506,-287.22998,-263.5809,-134.11029,-111.53,117.85511,-27.693062,-8.922585,445.75995,932.36804,86,45,52,99,100
105,0.032026783,0.026068924,0.027894821,0.03898198,0.04276647,0.08416999,0.033838872,0.035333212,0.18865861,0.9299802,-214.47516,-287.64722,-263.5809,-144.60983,-111.67099,123.94328,-33.660873,-5.0920486,568.40985,1169.4255,88,45,57,98,100
106,0.032026783,0.026065119,0.027894821,0.038621426,0.04276598,0.08471937,0.033838872,0.035407532,0.19470473,1.9648701,-214.47516,-287.69913,-263.5809,-147.91327,-111.67511,124.14757,-34.17416,-5.0920486,660.9867,1169.4255,90,45,58,98,100
107,0.032010857,0.026065119,0.027826516,0.03837655,0.0412946,0.083111055,0.033838872,0.036132194,0.2096004,1.9648701,-214.65195,-287.69913,-264.45248,-150.17441,-124.12155,124.14757,-35.251675,-8.922585,568.40985,1020.22205,87,45,57,99,100
108,0.03193167,0.025847908,0.027826516,0.03833688,0.04112323,0.08416999,0.033838872,0.036132194,0.16340004,0.22922696,-215.53253,-290.67407,-264.45248,-150.54211,-125.599884,119.7176,-51.67865,-31.268585,568.40985,1017.0281,88,44,52,99,100
109,0.03193164,0.025847908,0.027554212,0.037603423,0.039953325,0.08090241,0.033838872,0.036132194,0.1517495,0.22639598,-215.53287,-290.67407,-267.94846,-157.4094,-135.86014,116.19559,-49.593018,-13.237801,568.40985,1017.3511,88,45,57,98,99
