gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
62,499.50333,325.9295,345.5894,930.8832,1161.0321,1482.3816,737.3289,853.66516,3256.4395,3828.008,2324.8577,2279.342,2284.4973,2437.977,2498.3284,2600.8967,2503.977,2527.5518,2793.1392,2912.317,85,52,58,98,99,73.584,66.7,68.862,78.162,79.85
63,499.10773,325.92838,345.5894,926.1974,1087.9269,1466.345,715.4384,818.80707,3256.4395,3847.493,2324.754,2279.3418,2284.4973,2436.7483,2479.1582,2593.0903,2501.0928,2511.9973,2783.423,2912.317,85,46,59,98,99,73.192,67.656,69.088,77.886,79.43
64,484.18417,325.92838,345.5894,889.3421,1079.8107,1454.5103,639.6143,771.7333,3027.8955,3847.493,2320.8406,2279.3418,2284.4973,2427.084,2477.0298,2597.622,2500.0952,2511.4634,2806.0933,2902.822,86,45,59,98,99,73.75,68.18,69.06,77.44,79.294
65,484.18417,325.18237,344.81436,861.46515,1030.4875,1471.8405,639.6143,771.2811,2945.8347,3630.3625,2320.8406,2279.146,2284.2942,2419.774,2464.096,2594.0803,2503.5168,2511.9973,2849.8599,2893.5664,89,45,54,99,100,73.666,67.816,69.444,77.688,78.538
66,484.18417,324.2796,342.24997,861.46515,1030.4846,1514.8693,639.6143,767.346,3113.8865,3630.3625,2320.8406,2278.9094,2283.6216,2419.774,2464.0952,2585.5786,2503.5168,2507.0696,2851.3923,2885.9172,88,46,59,99,100,73.744,68.268,69.542,78.124,79.692
67,481.5526,320.88037,342.1866,843.89386,1006.6389,1524.8429,639.6143,793.97516,3113.8865,3630.3625,2320.1506,2278.018,2283.605,2415.166,2457.8423,2585.604,2503.5928,2511.9973,2818.5623,2885.9172,88,54,62,99,100,73.706,67.828,69.064,78.43,79.712
68,464.2501,317.23636,342.1866,839.5313,967.98083,1549.7439,639.6143,801.001,3113.8865,3630.3625,2315.6133,2277.0625,2283.605,2414.0222,2447.705,2586.4111,2503.5168,2511.4634,2782.5781,2865.251,89,54,60,99,100,73.732,68.684,69.366,78.314,79.374
69,457.86093,317.23447,342.1866,838.0134,961.19147,1490.9624,639.6143,774.5694,3113.8865,3847.6523,2313.938,2277.062,2283.605,2413.624,2445.9248,2591.9197,2499.9446,2511.9973,2771.473,2879.785,88,54,60,99,100,73.934,67.666,69.226,78.238,80.888
70,457.80563,316.80466,337.11145,829.9593,958.50073,1439.8632,639.6143,776.20105,3268.8027,3847.6523,2313.9233,2276.9492,2282.2742,2411.5122,2445.2192,2597.4277,2503.5928,2511.9973,2781.6545,2875.1953,88,54,62,99,100,74.04,67.742,69.098,78.67,80.462
71,457.77063,313.40094,335.98657,794.66406,958.43024,1490.1658,639.6143,776.20105,3268.8027,3847.6523,2313.9143,2276.0566,2281.9792,2402.2568,2445.2007,2603.605,2503.6846,2512.3025,2761.5967,2875.1953,87,54,62,99,100,74.01,68.588,69.194,78.452,79.488
