gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
72,0.0013703103,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013777569,0.0013454731,0.001356294,0.0014435428,0.0014435428,-373.9523,-379.3489,-378.6283,-362.14957,-362.14957,-317.6324,-339.53235,-330.44073,-294.09766,-294.09766,20,15,16,31,31
73,0.0013703102,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013777569,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-373.9523,-379.3489,-378.6283,-362.14957,-362.14957,-319.3338,-339.53235,-330.44073,-294.09766,-294.09766,20,15,16,31,31
74,0.0013422832,0.0013079256,0.0013162557,0.0015067499,0.0015067499,0.0013688331,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-339.53235,-332.07874,-294.09766,-294.09766,20,15,17,31,31
75,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688267,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-339.53235,-332.07874,-294.09766,-294.09766,20,15,17,31,31
76,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688267,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-339.53235,-332.07874,-294.09766,-294.09766,20,15,17,29,29
77,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688267,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-339.67728,-335.57214,-294.09766,-294.09766,20,15,15,29,29
78,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688267,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-339.67728,-335.57214,-294.09766,-294.09766,20,15,15,29,29
79,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688267,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-340.2092,-335.57214,-294.09766,-294.09766,20,15,15,29,29
80,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688277,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-340.2092,-335.57217,-294.09766,-294.09766,20,15,15,29,29
81,0.0013422832,0.0013079256,0.0013162559,0.0015067499,0.0015067499,0.0013688277,0.0013454731,0.0013563109,0.0014435428,0.0014435428,-376.37677,-379.3489,-378.6283,-362.14957,-362.14957,-329.07794,-340.2092,-335.57217,-294.09766,-294.09766,20,15,15,29,29
82,0.0013422832,0.0013079256,0.0013162559,0.0014055402,0.0014055402,0.0013688277,0.0013454731,0.0013563109,0.0014179217,0.0014179217,-376.37677,-379.3489,-378.6283,-370.90472,-370.90472,-329.07794,-340.2092,-335.57217,-303.18863,-303.18863,20,15,15,29,29
83,0.0013422832,0.0013079256,0.0013162559,0.0014055402,0.0014055402,0.0013688277,0.0013454731,0.0013563109,0.0014179217,0.0014179217,-376.37677,-379.3489,-378.6283,-370.90472,-370.90472,-329.07794,-340.2092,-335.57217,-303.18863,-303.18863,20,15,15,29,29
84,0.0013422832,0.0013079256,0.0013162559,0.0014055402,0.0014055402,0.0013688277,0.0013454731,0.0013563258,0.0014179217,0.0014179217,-376.37677,-379.3489,-378.6283,-370.90472,-370.90472,-329.07794,-340.2092,-335.57217,-303.18863,-303.18863,20,15,15,29,29
85,0.0013422832,0.0013079256,0.0013162559,0.0014055402,0.0014055402,0.0013688277,0.0013454731,0.0013563258,0.0014179217,0.0014179217,-376.37677,-379.3489,-378.6283,-370.90472,-370.90472,-329.07794,-340.2092,-335.57217,-303.18863,-303.18863,20,15,15,29,29
86,0.0013422832,0.0013079256,0.0013162559,0.0014055409,0.0014055409,0.0013688267,0.0013454731,0.0013563258,0.0014179494,0.0014179494,-376.37677,-379.3489,-378.6283,-370.90466,-370.90466,-329.07794,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
87,0.0013422832,0.0013079256,0.0013162559,0.0014055409,0.0014055409,0.0013770971,0.0013454731,0.0013563258,0.0014179494,0.0014179494,-376.37677,-379.3489,-378.6283,-370.90466,-370.90466,-329.07794,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
88,0.0013703107,0.0013079256,0.0013162559,0.0014281338,0.0014281338,0.0013771029,0.0013454731,0.0013563258,0.0014465114,0.0014465114,-373.95227,-379.3489,-378.6283,-368.95026,-368.95026,-329.07794,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
89,0.0013703107,0.0013079256,0.0013162559,0.0014281338,0.0014281338,0.0013771029,0.0013454731,0.0013563258,0.0014465114,0.0014465114,-373.95227,-379.3489,-378.6283,-368.95026,-368.95026,-329.07794,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
90,0.0013703107,0.0013079256,0.0013162559,0.0014281338,0.0014281338,0.0013771029,0.0013454731,0.0013563258,0.0014465114,0.0014465114,-373.95227,-379.3489,-378.6283,-368.95026,-368.95026,-329.07794,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
91,0.0013422832,0.0013079254,0.0013115786,0.0014281338,0.0014281338,0.0013771029,0.00134127,0.0013454871,0.0014465114,0.0014465114,-376.37677,-379.3489,-379.0329,-368.95026,-368.95026,-330.2559,-340.2092,-335.5722,-303.18896,-303.18896,20,15,15,29,29
