gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
184,0.027664166,0.022025758,0.023647362,0.032175645,0.03430096,0.05840278,0.027847288,0.03223399,0.6003318,1.1292787,-266.4869,-340.1124,-318.93774,-207.57666,-179.82465,73.42137,-40.019604,-13.773096,404.3059,474.97473,254.35272,182.99086,196.8538,284.59457,293.58176,85.88469,25.13646,30.86203,438.28864,501.68958,90,66,72,99,100,75.882,70.196,71.168,79.52,79.954
185,0.027664166,0.022025445,0.02353184,0.032175645,0.03430096,0.05841173,0.027847288,0.032328572,0.6003318,1.1338879,-266.4869,-340.11646,-320.4462,-207.57666,-179.82465,76.57531,-40.019604,-13.834301,404.3059,522.95386,255.07816,182.99086,196.8538,283.32132,293.58176,88.33368,26.132713,31.598103,456.9273,533.86646,90,66,72,99,100,75.81,70.698,71.782,79.414,80.348
186,0.027664166,0.022025445,0.023353716,0.032175645,0.03411402,0.05841173,0.027847288,0.032328572,0.6003318,1.1338879,-266.4869,-340.11646,-322.77213,-207.57666,-182.26566,75.86816,-40.019604,-15.629988,406.98108,522.95386,254.35272,189.43373,197.9293,283.25644,293.58176,86.15644,24.113117,28.276245,456.9273,545.818,90,69,72,99,99,75.796,71.126,72.246,79.654,80.574
187,0.027633818,0.022025445,0.023353716,0.032175645,0.034084767,0.05841173,0.027847288,0.032458764,0.6003318,1.1443161,-266.8832,-340.11646,-322.77213,-207.57666,-182.64767,78.90244,-40.50442,-23.726303,404.3059,522.95386,254.35272,185.71587,196.8538,283.25644,290.58603,87.72392,21.838156,28.276245,456.9273,549.76324,90,61,72,99,99,75.272,70.552,72.148,79.274,80.822
188,0.027548956,0.022025445,0.02310088,0.03207525,0.03395057,0.054371864,0.028090918,0.032071054,0.58438736,1.0491896,-267.9913,-340.11646,-326.0736,-208.88763,-184.4,76.9428,-38.534714,-15.629988,404.3059,514.4144,253.3495,189.43373,197.9293,283.32132,290.58603,86.71514,23.648571,29.540361,437.35858,549.76324,89,69,73,99,100,75.258,70.884,71.818,79.336,79.826
189,0.027548956,0.022014754,0.02310088,0.03200339,0.03395057,0.056500975,0.028207067,0.032012876,0.58438736,1.0491896,-267.9913,-340.25607,-326.0736,-209.82596,-184.4,64.59249,-40.019604,-23.91858,392.59113,474.97473,253.3495,157.06691,196.8538,283.25644,286.1468,87.72392,25.28366,27.210043,428.01074,549.76324,89,61,72,99,100,75.616,71.58,72.39,78.812,80.51
190,0.027548956,0.02188144,0.02310088,0.031958915,0.03395057,0.056500975,0.028207067,0.03213566,0.58438736,1.0491896,-267.9913,-341.9969,-326.0736,-210.40671,-184.4,70.10152,-40.019604,-26.897228,387.1797,474.97473,253.3495,157.06691,191.30862,283.25644,290.58603,85.78021,23.648571,27.011772,428.01074,549.76324,89,58,72,99,100,75.044,71.386,72.222,78.794,80.318
191,0.027518751,0.02161722,0.02310088,0.031943638,0.03395057,0.054371864,0.028207067,0.03241073,0.7683226,1.105335,-268.3857,-345.447,-326.0736,-210.60623,-184.4,70.10152,-35.502975,-23.91858,385.21878,474.97473,251.64151,170.49326,191.30862,283.25644,291.49945,84.91977,25.373367,28.204708,400.6679,549.76324,88,61,72,99,100,75.612,71.142,72.122,78.814,80.388
192,0.027518751,0.02161722,0.02310088,0.031942092,0.033648856,0.056500975,0.028207067,0.03213566,0.690175,1.0491896,-268.3857,-345.447,-326.0736,-210.6264,-188.33972,56.41629,-36.995667,-26.897228,385.21878,474.97473,246.76039,155.77808,190.01213,282.66614,285.6106,82.847336,25.034134,29.540361,400.6679,549.76324,88,56,71,99,100,75.216,70.632,71.6,78.932,80.112
193,0.027514528,0.02161722,0.02310088,0.03194146,0.03352801,0.06036908,0.028207067,0.031843845,0.5909077,1.0491896,-268.44086,-345.447,-326.0736,-210.63467,-189.91766,68.31738,-40.50442,-26.897228,404.3059,520.26245,249.32277,170.49326,194.97961,283.1406,289.03717,82.847336,25.373367,29.59445,442.6079,549.76324,88,61,72,99,100,76.118,71.052,72.088,79.15,80.41
194,0.027514247,0.021613522,0.02310088,0.03194146,0.03352801,0.059803788,0.028207067,0.031843845,0.58946955,1.0491896,-268.44452,-345.49533,-326.0736,-210.63467,-189.91766,70.10152,-40.50442,-27.08944,404.3059,520.26245,252.30557,170.49326,194.97961,283.32132,289.03717,80.17412,23.255854,29.59445,442.6079,521.5687,89,61,72,99,100,75.528,71.658,72.266,79.062,80.798
