gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
51,0.0009835415,0.00056392245,0.0006386198,0.0015570218,0.0018106318,0.004763907,0.0030417705,0.0031946204,0.008796425,0.0134488465,-1051.9574,-1062.2147,-1060.3888,-1037.939,-1031.7396,-773.3785,-869.29913,-856.012,-445.40536,-367.86365,86,49,59,99,100,71.36,66.784,68.056,75.972,76.53
52,0.0009718674,0.0005632434,0.0006386198,0.0014809272,0.0016546581,0.004722721,0.0030268186,0.003357278,0.008796425,0.016105773,-1052.2428,-1062.2313,-1060.3888,-1039.7991,-1035.5524,-763.31836,-864.3525,-853.53674,-409.63956,-357.5169,88,49,61,99,100,71.778,66.13,67.462,76.03,76.918
53,0.0009718674,0.000554777,0.00061423494,0.0014627599,0.0016546553,0.004718791,0.0029166546,0.0032211484,0.009302119,0.016109703,-1052.2428,-1062.4384,-1060.9849,-1040.2432,-1035.5524,-763.0655,-863.39465,-845.1081,-436.8234,-367.86365,87,53,63,99,100,71.794,66.158,67.356,75.974,77.402
54,0.0009678121,0.00055471266,0.00061423494,0.001445045,0.0016042356,0.004718836,0.002905053,0.0031397503,0.009296712,0.016098626,-1052.3419,-1062.4398,-1060.9849,-1040.6761,-1036.7849,-760.1078,-863.39465,-837.6461,-423.71915,-357.5169,88,58,64,99,100,71.466,67.092,67.636,76.828,77.95
55,0.0009418785,0.00055471266,0.0006111825,0.001445045,0.0015690193,0.0049027274,0.002905053,0.0031397503,0.009296712,0.016094292,-1052.9758,-1062.4398,-1061.0594,-1040.6761,-1037.6458,-751.42474,-858.5887,-831.6854,-415.44504,-288.72327,89,61,65,99,100,71.318,67.02,68.012,76.736,77.03
56,0.0009376536,0.00055354077,0.00060868764,0.001445045,0.0015570218,0.0049070767,0.0030268186,0.003357278,0.009449181,0.015114855,-1053.0791,-1062.4685,-1061.1205,-1040.6761,-1037.939,-756.98987,-853.6013,-830.8376,-449.40756,-288.72327,89,61,66,99,100,71.582,66.7,67.748,76.674,77.938
57,0.0008966193,0.0005528364,0.0006075322,0.0014420126,0.0015570218,0.0051109404,0.003146384,0.0033672382,0.009781333,0.016094292,-1054.0822,-1062.4857,-1061.1487,-1040.7504,-1037.939,-741.0927,-853.6013,-831.22015,-423.71915,-263.68726,90,64,67,99,100,71.108,67.268,67.92,76.306,78.256
58,0.00089283334,0.0005500305,0.00059576205,0.0013632828,0.0015570218,0.0050748694,0.0030268186,0.0033669958,0.00988755,0.016094292,-1054.1747,-1062.5543,-1061.4364,-1042.6748,-1037.939,-740.9497,-852.5526,-833.95935,-413.2117,-234.23517,90,65,68,99,100,72.15,66.608,67.754,77.544,78.224
59,0.0008891268,0.0005500305,0.00059576205,0.0013632828,0.0015511012,0.0051109404,0.0030268186,0.0033583506,0.009884663,0.016094292,-1054.2653,-1062.5543,-1061.4364,-1042.6748,-1038.0837,-734.16626,-852.5526,-834.0381,-388.33377,-224.53284,90,64,67,99,100,72.15,67.126,68.13,77.28,78.538
60,0.0008785519,0.0005500305,0.00059576205,0.0013632828,0.0015511012,0.0051983935,0.0030336815,0.0034671752,0.009884663,0.01671787,-1054.5238,-1062.5543,-1061.4364,-1042.6748,-1038.0837,-756.98987,-852.5526,-834.0381,-395.48083,-234.23517,90,63,66,99,100,72.666,67.66,68.442,77.08,77.93
61,0.00086402457,0.00053995854,0.0005599551,0.0013632828,0.0015511012,0.0052044042,0.0031111662,0.003357278,0.010242185,0.017237658,-1054.8789,-1062.8005,-1062.3118,-1042.6748,-1038.0837,-757.1486,-852.5526,-834.0381,-411.8105,-295.10693,89,63,66,99,100,72.832,67.816,68.876,76.94,77.79
62,0.0008442939,0.00053995854,0.0005599551,0.0013056521,0.0014925544,0.00526734,0.003108482,0.0034670637,0.009884663,0.015706697,-1055.3612,-1062.8005,-1062.3118,-1044.0836,-1039.5149,-757.1486,-871.83136,-842.95276,-433.9748,-342.78778,89,59,65,99,100,72.822,67.488,68.752,76.938,77.964
63,0.0008442939,0.000530024,0.0005599551,0.0012886386,0.0014700603,0.005358166,0.0031798119,0.0035029566,0.009884663,0.015706226,-1055.3612,-1063.0433,-1062.3118,-1044.4995,-1040.0647,-750.6612,-867.52094,-830.8376,-439.45804,-346.21442,89,59,66,99,100,72.646,66.756,68.598,76.486,77.948
64,0.00083133945,0.00053000404,0.0005599551,0.0012778956,0.0013632828,0.0052622585,0.0032054004,0.003452952,0.010242185,0.015706226,-1055.6779,-1063.0438,-1062.3118,-1044.7621,-1042.6748,-757.1486,-852.5526,-832.04047,-524.6428,-368.56458,89,59,66,99,100,72.938,67.66,68.312,77.332,77.708
65,0.00082510686,0.00052968046,0.0005599551,0.0012169316,0.0013632828,0.0052616037,0.0030568098,0.0034479285,0.010242185,0.015706226,-1055.8302,-1063.0518,-1062.3118,-1046.2523,-1042.6748,-755.8365,-851.2296,-820.5919,-514.4131,-346.21442,89,64,67,99,100,72.822,66.998,68.794,76.336,78.078
66,0.0008137107,0.00051570113,0.0005531003,0.0011995392,0.0013632828,0.0051913387,0.0031816906,0.0034528025,0.009884663,0.014227943,-1056.1088,-1063.3934,-1062.4792,-1046.6775,-1042.6748,-757.1486,-847.3441,-831.097,-514.4131,-346.21442,89,65,68,99,100,73.098,67.44,68.908,76.444,77.996
67,0.0008123318,0.0005157007,0.0005531003,0.001181251,0.001290198,0.0050785313,0.0032246085,0.0034528025,0.009488466,0.014366304,-1056.1425,-1063.3936,-1062.4792,-1047.1245,-1044.4613,-760.69885,-851.7516,-840.5259,-524.6428,-346.21442,90,65,67,99,100,73.254,68.332,69.682,76.682,77.608
68,0.00080081006,0.0005157007,0.0005531003,0.0011746945,0.0012549749,0.0050868276,0.0031282618,0.0034528025,0.009488466,0.014994256,-1056.4242,-1063.3936,-1062.4792,-1047.2848,-1045.3224,-752.63763,-853.5077,-840.5259,-434.74707,-265.34735,90,65,67,99,100,73.572,68.498,69.876,77.466,78.26
69,0.00079360156,0.0005157007,0.00055239577,0.001144498,0.0012549749,0.0051977863,0.0032076596,0.0034479285,0.009488466,0.015394365,-1056.6003,-1063.3936,-1062.4965,-1048.023,-1045.3224,-756.484,-853.5077,-844.311,-434.74707,-269.735,90,65,67,99,100,73.498,68.904,70.068,77.57,78.406
70,0.00079360156,0.00045876356,0.00055239577,0.001136517,0.001188074,0.005083242,0.0032466936,0.0034526575,0.009488466,0.015381017,-1056.6003,-1064.7853,-1062.4965,-1048.218,-1046.9578,-750.5868,-851.2296,-840.9129,-430.9129,-269.735,91,65,68,99,100,73.612,68.526,69.354,77.21,78.138
71,0.0007867749,0.00045876356,0.00054202694,0.0011311513,0.0011849467,0.005120749,0.0032389949,0.0034526575,0.009884663,0.015381017,-1056.7672,-1064.7853,-1062.75,-1048.3491,-1047.0342,-756.1979,-847.3441,-834.42194,-450.7277,-269.735,91,66,72,99,100,73.566,68.808,69.97,78.104,78.626
72,0.0007867749,0.00045876356,0.0005303969,0.0011260842,0.0011849467,0.0051664803,0.0032466936,0.0034479285,0.009488466,0.016644955,-1056.7672,-1064.7853,-1063.0343,-1048.473,-1047.0342,-750.5868,-847.0504,-832.04047,-424.92285,-303.7011,91,66,72,99,100,72.96,67.976,69.174,78.016,78.9
